Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
84545-PUD,Female,39,No,Puducherry,11,12,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,Yes,No,No,Yes,"One Year",Yes,"Bank Withdrawal",83,5685.8,0,0,3008,8694.12,Churned,Dissatisfaction,"Product dissatisfaction"
74110-MAD,Male,79,No,"Madhya Pradesh",4,20,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",94.55,1899.65,0,0,106,2005.85,Churned,Competitor,"Competitor had better devices"
91754-DEL,Female,25,No,Delhi,6,2,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",19.4,554.25,0,0,437,990.99,Stayed,Other,Other
45174-DEL,Male,48,No,Delhi,12,11,None,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",44.05,202.15,0,0,55,257.1,Stayed,Other,Other
23237-UTT,Female,24,No,Uttarakhand,15,8,"Deal 4",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",20.5,398.55,24,0,674,1048.03,Stayed,Other,Other
14237-BIH,Male,83,Yes,Bihar,7,2,"Deal 1",Yes,Yes,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",25.45,1789.65,0,0,2645,4434.4,Stayed,Other,Other
66013-TAM,Male,73,No,"Tamil Nadu",1,31,None,No,No,Yes,DSL,No,Yes,No,No,Yes,Yes,No,Yes,"Two Year",Yes,"Credit Card",50.95,207.35,0,0,0,207.35,Stayed,Other,Other
53717-MAH,Female,43,Yes,Maharashtra,13,3,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,"Credit Card",20.2,98.35,0,0,101,199.81,Stayed,Other,Other
17050-MAH,Female,72,Yes,Maharashtra,9,29,"Deal 3",Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",100.4,3217.65,0,0,1575,4792.37,Stayed,Other,Other
98260-BIH,Male,49,No,Bihar,7,7,"Deal 1",Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",91.7,6424.7,0,0,1064,7488.9,Stayed,Other,Other
77147-BIH,Female,50,No,Bihar,13,32,None,Yes,No,Yes,"Fiber Optic",No,No,Yes,No,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",93.8,3124.5,0,0,661,3785.16,Churned,Attitude,"Attitude of support person"
46580-GUJ,Female,45,No,Gujarat,9,2,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",109.85,7002.95,0,0,1198,8200.58,Stayed,Other,Other
53939-DEL,Male,39,Yes,Delhi,0,22,"Deal 2",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",19.9,1110.05,0,0,1826,2936.43,Stayed,Other,Other
19481-HAR,Male,76,No,Haryana,10,17,"Deal 4",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.45,1752.55,46,0,204,1910.88,Churned,Competitor,"Competitor made better offer"
99849-AND,Male,61,No,"Andhra Pradesh",7,3,None,Yes,No,Yes,"Fiber Optic",Yes,No,No,No,No,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",74.1,450.9,0,0,76,526.92,Stayed,Other,Other
73218-TAM,Female,70,Yes,"Tamil Nadu",6,9,None,Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,"Credit Card",88.75,5348.65,0,0,953,6301.5,Stayed,Other,Other
96603-BIH,Female,56,Yes,Bihar,4,30,None,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,"Credit Card",49.65,49.65,0,40,4,93.83,Churned,Dissatisfaction,"Lack of self-service on Website"
69077-TAM,Female,55,Yes,"Tamil Nadu",5,3,"Deal 2",Yes,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",70.95,3629.2,0,0,2148,5777.68,Stayed,Other,Other
76587-WES,Female,67,No,"West Bengal",6,18,"Deal 3",Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",100.05,3810.55,0,0,646,4456.57,Stayed,Other,Other
78850-KAR,Female,58,No,Karnataka,13,33,None,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Mailed Check",49,1291.35,0,0,73,1363.98,Stayed,Other,Other
34278-UTT,Female,56,No,"Uttar Pradesh",13,32,"Deal 4",Yes,No,Yes,"Fiber Optic",No,Yes,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,"Credit Card",89.65,1208.35,0,120,107,1435.03,Churned,Competitor,"Competitor had better devices"
64028-RAJ,Female,30,Yes,Rajasthan,5,22,"Deal 1",Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",75.1,5336.35,0,0,1082,6418.51,Stayed,Other,Other
92454-KAR,Male,32,No,Karnataka,9,14,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",79.4,244.65,0,0,140,384.45,Churned,Competitor,"Competitor offered higher download speeds"
51778-TAM,Female,30,No,"Tamil Nadu",14,7,"Deal 1",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"One Year",Yes,"Credit Card",108.15,7930.55,0,0,404,8334.45,Stayed,Other,Other
12476-HAR,Female,50,No,Haryana,1,21,"Deal 4",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",19.8,202.25,0,0,132,334.73,Stayed,Other,Other
19891-KAR,Male,60,No,Karnataka,6,4,"Deal 4",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Credit Card",20.45,481.1,0,0,1062,1543.01,Stayed,Other,Other
44094-JAM,Female,65,No,"Jammu & Kashmir",3,5,None,Yes,Yes,Yes,Cable,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",69.5,1652.1,17,0,632,2267.48,Stayed,Other,Other
26949-MAH,Female,50,No,Maharashtra,2,19,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",93.4,3756.4,4,0,113,3865.42,Stayed,Other,Other
46765-RAJ,Female,46,No,Rajasthan,2,28,"Deal 4",Yes,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,No,"Credit Card",45.2,492,0,150,446,1088.49,Stayed,Other,Other
44055-WES,Female,56,No,"West Bengal",15,25,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",19.8,849.9,0,0,1627,2476.98,Stayed,Other,Other
68330-MAH,Female,40,No,Maharashtra,14,10,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",78.3,2564.3,0,0,457,3021.6,Churned,Other,"Don't know"
88050-GUJ,Female,44,Yes,Gujarat,8,15,"Deal 4",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",76.6,893,0,0,314,1206.56,Stayed,Other,Other
64664-TEL,Female,56,Yes,Telangana,2,8,"Deal 1",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,No,No,Yes,No,No,Yes,"One Year",No,"Credit Card",95.65,6856.95,0,0,371,7227.57,Stayed,Other,Other
53598-HAR,Male,26,No,Haryana,9,3,None,No,No,Yes,DSL,No,No,No,No,No,No,No,Yes,"One Year",Yes,"Credit Card",25.25,947.75,0,0,0,947.75,Stayed,Other,Other
34389-RAJ,Female,48,No,Rajasthan,4,5,"Deal 2",Yes,Yes,Yes,DSL,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",66.8,3970.4,0,0,2558,6528.2,Stayed,Other,Other
57527-TAM,Female,26,Yes,"Tamil Nadu",14,12,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Credit Card",19.1,1143.8,0,0,2569,3712.51,Stayed,Other,Other
37577-PUN,Male,70,Yes,Punjab,7,6,None,Yes,No,Yes,DSL,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",66.4,1286.05,0,0,578,1864.41,Stayed,Other,Other
29016-PUN,Female,27,Yes,Punjab,13,12,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"One Year",Yes,"Bank Withdrawal",107.75,6521.9,0,0,2586,9108.3,Stayed,Other,Other
67187-WES,Female,48,Yes,"West Bengal",5,18,"Deal 4",Yes,No,Yes,Cable,No,No,No,Yes,Yes,No,No,Yes,"One Year",Yes,"Bank Withdrawal",59.8,727.8,0,0,115,843,Churned,Competitor,"Competitor offered higher download speeds"
25446-HAR,Female,40,No,Haryana,6,8,"Deal 4",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",19.7,301.55,0,0,114,415.79,Stayed,Other,Other
94058-TEL,Female,20,Yes,Telangana,14,1,"Deal 2",Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,"Two Year",No,"Bank Withdrawal",61.4,3638.25,0,0,1855,5493.45,Stayed,Other,Other
25621-HAR,Female,43,Yes,Haryana,9,9,None,Yes,Yes,Yes,Cable,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",61.35,3169.55,0,0,2322,5491.35,Stayed,Other,Other
44423-BIH,Female,56,Yes,Bihar,5,4,None,Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",69,1108,34,0,93,1167.66,Stayed,Other,Other
82290-GUJ,Female,76,Yes,Gujarat,2,34,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",80.85,751.65,0,0,390,1141.71,Churned,Attitude,"Attitude of support person"
61461-HAR,Female,62,No,Haryana,10,13,"Deal 2",Yes,Yes,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",24.2,1618.2,0,0,1685,3302.82,Stayed,Other,Other
55858-BIH,Male,60,No,Bihar,9,13,"Deal 2",Yes,No,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,No,No,Yes,"One Year",Yes,"Bank Withdrawal",91.3,4126.35,0,0,549,4675.13,Stayed,Other,Other
67668-JHA,Male,47,No,Jharkhand,10,30,None,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"One Year",Yes,"Bank Withdrawal",54.75,2348.45,0,80,0,2428.45,Stayed,Other,Other
69259-UTT,Female,32,Yes,"Uttar Pradesh",2,12,"Deal 2",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",19.75,948.9,0,0,1952,2901.28,Stayed,Other,Other
91532-GUJ,Male,55,Yes,Gujarat,1,3,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,No,Yes,Yes,Yes,"One Year",Yes,"Credit Card",90.35,4614.55,0,0,470,5084.26,Stayed,Other,Other
26377-ODI,Female,23,Yes,Odisha,2,4,None,Yes,No,Yes,Cable,Yes,No,No,Yes,No,No,No,Yes,"Two Year",No,"Bank Withdrawal",54.65,2553.7,0,0,2034,4588.15,Stayed,Other,Other
47754-TAM,Male,42,No,"Tamil Nadu",10,7,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Credit Card",20.2,1068.15,0,0,1083,2151.47,Stayed,Other,Other
57814-JAM,Female,59,Yes,"Jammu & Kashmir",0,15,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",101.75,4273.45,0,0,789,5062.63,Churned,Other,"Don't know"
17149-GUJ,Male,70,Yes,Gujarat,0,16,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",89.5,477.7,0,0,229,706.3,Churned,Attitude,"Attitude of support person"
97384-KAR,Female,38,Yes,Karnataka,4,34,None,Yes,No,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",109.75,6110.2,0,0,2273,8383.06,Churned,Competitor,"Competitor had better devices"
43865-ASS,Male,37,Yes,Assam,1,26,"Deal 5",Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,"Credit Card",19.45,19.45,0,0,49,68.41,Churned,Dissatisfaction,"Poor expertise of phone support"
27465-UTT,Female,82,No,"Uttar Pradesh",6,6,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,No,Yes,No,Yes,"Two Year",Yes,"Bank Withdrawal",94.25,6081.4,0,0,1493,7574.52,Stayed,Other,Other
83932-BIH,Female,53,Yes,Bihar,1,20,"Deal 4",No,No,Yes,DSL,Yes,Yes,No,Yes,No,No,No,No,"One Year",No,"Credit Card",40.25,411.45,18,30,0,423.49,Stayed,Other,Other
69846-MAH,Female,37,Yes,Maharashtra,12,9,None,Yes,No,Yes,DSL,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",50.2,1815.3,0,0,1383,3198.08,Stayed,Other,Other
73151-JAM,Female,79,Yes,"Jammu & Kashmir",7,13,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,No,Yes,No,Yes,"Two Year",Yes,"Bank Withdrawal",79.5,2665,0,0,1556,4220.84,Stayed,Other,Other
46986-DEL,Female,52,Yes,Delhi,4,17,"Deal 5",Yes,Yes,Yes,"Fiber Optic",No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",93.5,362.2,0,0,30,391.76,Churned,Competitor,"Competitor made better offer"
53028-RAJ,Female,35,No,Rajasthan,10,36,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,No,No,No,"One Year",Yes,"Bank Withdrawal",94.75,5121.75,0,70,2033,7224.85,Stayed,Other,Other
29830-TAM,Female,72,Yes,"Tamil Nadu",15,7,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",70.55,3309.25,27,0,1267,4548.91,Churned,Competitor,"Competitor made better offer"
14311-UTT,Male,52,Yes,"Uttar Pradesh",13,32,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",25,300.7,0,0,165,466.14,Stayed,Other,Other
37203-KAR,Male,49,No,Karnataka,14,32,"Deal 5",Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,"Mailed Check",19.35,152.6,0,0,279,431.56,Stayed,Other,Other
91754-WES,Male,58,Yes,"West Bengal",14,13,None,No,No,Yes,DSL,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",35.25,35.25,0,0,0,35.25,Churned,Price,"Lack of affordable download/upload speed"
64001-KAR,Male,44,No,Karnataka,10,2,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Credit Card",115.85,6567.9,0,0,2288,8856.06,Stayed,Other,Other
39862-TEL,Female,52,No,Telangana,10,18,"Deal 3",Yes,Yes,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Bank Withdrawal",24.7,780.2,0,0,392,1171.88,Stayed,Other,Other
96516-HAR,Female,45,No,Haryana,14,5,"Deal 5",Yes,No,Yes,DSL,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",55.35,449.75,0,0,369,818.93,Churned,Competitor,"Competitor had better devices"
48545-AND,Female,76,No,"Andhra Pradesh",2,15,None,Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,Yes,Yes,No,Yes,"One Year",Yes,"Bank Withdrawal",98.85,4564.9,0,0,193,4758.1,Stayed,Other,Other
93306-TEL,Female,35,No,Telangana,8,15,"Deal 2",Yes,No,Yes,DSL,Yes,No,No,No,Yes,No,No,Yes,"One Year",Yes,"Credit Card",59.8,3561.15,0,0,914,4475.55,Stayed,Other,Other
51798-PUN,Male,63,Yes,Punjab,2,18,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",89.75,1938.9,0,0,492,2431.26,Stayed,Other,Other
39779-AND,Female,24,Yes,"Andhra Pradesh",14,8,"Deal 3",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Credit Card",19.9,791.15,20,0,1873,2643.76,Stayed,Other,Other
85886-RAJ,Female,19,No,Rajasthan,1,11,"Deal 3",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",20.05,746.75,0,0,1436,2182.45,Stayed,Other,Other
94955-MAH,Female,54,Yes,Maharashtra,2,33,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Credit Card",20.8,460.2,22,0,77,515.14,Stayed,Other,Other
37034-RAJ,Female,58,Yes,Rajasthan,2,8,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",79.55,79.55,0,0,4,83.59,Churned,Other,"Don't know"
65797-JHA,Female,80,No,Jharkhand,4,4,"Deal 4",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",20.35,369.6,0,0,676,1045.14,Stayed,Other,Other
22836-AND,Male,60,Yes,"Andhra Pradesh",9,18,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",19.95,1269.1,0,0,2504,3773.14,Stayed,Other,Other
64957-KAR,Female,51,No,Karnataka,11,4,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",84.9,2516.2,47,0,275,2744.37,Stayed,Other,Other
32018-KER,Male,36,Yes,Kerala,15,32,"Deal 1",Yes,Yes,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",25.1,1697.7,0,0,3243,4940.28,Stayed,Other,Other
71598-TAM,Female,31,Yes,"Tamil Nadu",9,20,"Deal 5",Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",45.45,411.75,0,0,41,452.47,Stayed,Other,Other
22916-AND,Female,83,Yes,"Andhra Pradesh",12,17,"Deal 2",Yes,Yes,Yes,Cable,Yes,No,No,Yes,No,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",70.05,3062.45,0,0,831,3893.15,Stayed,Other,Other
58840-ODI,Female,73,No,Odisha,15,13,None,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",25.2,25.2,0,0,0,25.2,Churned,Competitor,"Competitor made better offer"
76680-UTT,Male,67,No,"Uttar Pradesh",4,17,"Deal 3",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",95.9,2745.2,0,50,1026,3821.22,Churned,Price,"Extra data charges"
43349-BIH,Male,44,No,Bihar,12,28,None,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",No,"Credit Card",89.85,6562.9,13,0,1941,8491.47,Stayed,Other,Other
26259-RAJ,Female,46,No,Rajasthan,4,9,"Deal 3",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",Yes,"Bank Withdrawal",20.1,682.1,0,0,1418,2100.58,Stayed,Other,Other
58665-PUN,Male,75,Yes,Punjab,4,15,"Deal 1",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Two Year",Yes,"Bank Withdrawal",114.65,8333.95,0,0,330,8664.43,Stayed,Other,Other
87521-WES,Female,64,Yes,"West Bengal",14,20,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,"Mailed Check",20.55,187.35,0,0,48,234.95,Stayed,Other,Other
32445-ODI,Female,26,No,Odisha,2,27,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,No,"One Year",Yes,"Bank Withdrawal",106.8,5498.8,0,140,1499,7138.2,Stayed,Other,Other
27514-AND,Male,61,Yes,"Andhra Pradesh",12,20,None,Yes,No,Yes,"Fiber Optic",No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",85.45,2289.9,0,0,89,2378.94,Stayed,Other,Other
44815-TEL,Female,24,No,Telangana,10,11,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",Yes,"Credit Card",20.4,261.3,0,0,85,346.58,Stayed,Other,Other
55800-PUN,Female,78,No,Punjab,5,10,"Deal 4",Yes,No,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",89.15,1496.9,0,0,516,2013.19,Churned,Dissatisfaction,"Service dissatisfaction"
28453-JAM,Female,23,No,"Jammu & Kashmir",9,6,"Deal 5",Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Credit Card",48.6,48.6,0,0,7,55.14,Churned,Dissatisfaction,"Poor expertise of phone support"
96240-UTT,Male,26,No,"Uttar Pradesh",7,24,"Deal 4",Yes,Yes,Yes,DSL,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",59.65,867.1,33,0,365,1199.85,Stayed,Other,Other
73236-AND,Female,63,Yes,"Andhra Pradesh",5,22,"Deal 4",Yes,No,Yes,DSL,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",54.3,654.5,0,130,452,1236.06,Stayed,Other,Other
41924-RAJ,Female,57,No,Rajasthan,9,11,None,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,"Mailed Check",46,221.7,0,0,119,341.15,Churned,Competitor,"Competitor had better devices"
32061-WES,Female,60,Yes,"West Bengal",3,21,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,No,No,No,Yes,Yes,Yes,"One Year",Yes,"Credit Card",96.4,4911.05,0,0,1785,6696.05,Stayed,Other,Other
61657-PUN,Male,32,Yes,Punjab,2,6,"Deal 3",Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",67.6,2000.2,0,0,1441,3441.4,Stayed,Other,Other
91747-GUJ,Female,52,Yes,Gujarat,15,26,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",19.8,1336.65,0,0,1488,2824.65,Stayed,Other,Other
89487-TAM,Male,58,Yes,"Tamil Nadu",8,9,None,Yes,Yes,Yes,"Fiber Optic",Yes,No,No,No,No,No,No,No,"Two Year",No,"Bank Withdrawal",80.45,5737.6,0,130,449,6316.16,Stayed,Other,Other
25310-DEL,Female,65,Yes,Delhi,10,34,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,"Credit Card",25.45,134.75,0,0,27,161.8,Stayed,Other,Other
85404-KAR,Male,51,No,Karnataka,15,33,None,No,No,Yes,DSL,Yes,No,Yes,Yes,Yes,No,No,Yes,"Two Year",No,"Mailed Check",48.9,3527,34,0,0,3492.56,Stayed,Other,Other
78891-BIH,Female,33,Yes,Bihar,9,15,"Deal 3",Yes,No,Yes,"Fiber Optic",No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",89.2,2383.6,0,0,1070,3453.34,Stayed,Other,Other
95773-BIH,Female,56,Yes,Bihar,13,36,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"Two Year",Yes,"Bank Withdrawal",24.05,1709.15,0,0,3477,5186.03,Stayed,Other,Other
87950-TAM,Female,32,Yes,"Tamil Nadu",13,26,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",69.55,69.55,0,0,49,118.98,Churned,Attitude,"Attitude of support person"
73999-HAR,Male,36,Yes,Haryana,9,17,"Deal 3",Yes,No,Yes,Cable,Yes,No,Yes,No,No,No,No,Yes,"Two Year",Yes,"Mailed Check",55.65,1653.85,0,0,1412,3065.65,Stayed,Other,Other
81278-MAD,Female,40,No,"Madhya Pradesh",7,11,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,No,No,No,Yes,"Two Year",No,"Credit Card",94.55,6078.75,0,0,1269,7348.2,Stayed,Other,Other
94569-UTT,Female,45,No,"Uttar Pradesh",11,3,"Deal 2",Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",No,"Credit Card",19.75,1311.6,0,0,1549,2861,Stayed,Other,Other
43546-KAR,Male,21,Yes,Karnataka,7,2,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,Yes,No,No,Yes,"Two Year",Yes,"Credit Card",89.1,5411.65,0,0,2341,7752.15,Stayed,Other,Other
78979-KAR,Male,46,No,Karnataka,5,1,"Deal 2",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",107.75,4882.8,0,0,1341,6224.25,Stayed,Other,Other
16243-DEL,Female,67,No,Delhi,8,2,"Deal 5",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",74.2,74.2,0,0,49,123.15,Churned,Price,"Price too high"
24324-MAH,Female,56,No,Maharashtra,1,6,"Deal 2",Yes,No,Yes,Cable,No,No,Yes,No,No,No,No,Yes,"One Year",Yes,"Bank Withdrawal",50.95,2610.65,0,0,522,3132.21,Stayed,Other,Other
27812-MAD,Male,57,No,"Madhya Pradesh",7,5,"Deal 3",Yes,No,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Mailed Check",20.25,439.75,0,0,979,1419.19,Stayed,Other,Other
74869-GUJ,Female,57,Yes,Gujarat,9,3,"Deal 1",No,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",58.35,4214.25,0,0,0,4214.25,Stayed,Other,Other
93062-HAR,Female,31,No,Haryana,10,6,None,Yes,No,No,None,No,No,No,No,No,No,No,No,"Two Year",Yes,"Bank Withdrawal",19.85,854.8,0,0,1270,2125.03,Stayed,Other,Other
11616-TAM,Male,26,No,"Tamil Nadu",6,2,None,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,No,Yes,"One Year",Yes,"Bank Withdrawal",68.7,1416.2,0,0,650,2066.2,Stayed,Other,Other
